|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| id     | pesid   | data_inversa | dia_semana   | horario  | uf | br  | km     | municipio                 | causa_principal | causa_acidente                                                       | ordem_tipo_acidente | tipo_acidente                  | classificacao_acidente | fase_dia    | sentido_via | condicao_metereologica | tipo_pista | tracado_via                                        | uso_solo | id_veiculo | tipo_veiculo    | marca                       | ano_fabricacao_veiculo | tipo_envolvido | estado_fisico | idade | sexo          | ilesos | feridos_leves | feridos_graves | mortos | latitude     | longitude    | regional | delegacia | uop            |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652468 | 1467636 |   2025-01-01 | quarta-feira | 00:30:00 | PE | 101 |   89,5 | JABOATAO DOS GUARARAPES   | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o traseira               | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172939 | Autom�vel       | VW/GOL 1.0L MC4             |                   2018 | Condutor       | N�o Informado | NA    | N�o Informado |      0 |             0 |              0 |      0 |  -8,20760697 | -34,98372005 | SPRF-PE  | DEL01-PE  | UOP01-DEL01-PE |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652468 | 1467635 |   2025-01-01 | quarta-feira | 00:30:00 | PE | 101 |   89,5 | JABOATAO DOS GUARARAPES   | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o traseira               | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172938 | Motocicleta     | HONDA/NXR150 BROS ES        |                   2009 | Passageiro     | Les�es Leves  |    28 | Feminino      |      0 |             1 |              0 |      0 |  -8,20760697 | -34,98372005 | SPRF-PE  | DEL01-PE  | UOP01-DEL01-PE |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652468 | 1467634 |   2025-01-01 | quarta-feira | 00:30:00 | PE | 101 |   89,5 | JABOATAO DOS GUARARAPES   | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o traseira               | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172938 | Motocicleta     | HONDA/NXR150 BROS ES        |                   2009 | Condutor       | Les�es Leves  |    29 | Masculino     |      0 |             1 |              0 |      0 |  -8,20760697 | -34,98372005 | SPRF-PE  | DEL01-PE  | UOP01-DEL01-PE |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652468 | 1467637 |   2025-01-01 | quarta-feira | 00:30:00 | PE | 101 |   89,5 | JABOATAO DOS GUARARAPES   | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o traseira               | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      | NA         | NA              | NA/NA                       | NA                     | Testemunha     | N�o Informado | NA    | N�o Informado |      0 |             0 |              0 |      0 |  -8,20760697 | -34,98372005 | SPRF-PE  | DEL01-PE  | UOP01-DEL01-PE |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
